
> msw-inc@1.0.0 audit /home/user/proto/projects/msw-inc/app
> tsx src/sim/tools/audit.ts "--" "--ablate" "--part" "0/2" "--json" "../notes/data/audit-v17.json"


══ 하나씩 빼 보기 · 엔딩 날(D) 중앙값 · 멈춘 월드 ══
변형                               std    light    hasty  hoarder    night   범위
v1.7 전부                      30.6     28.9     30.8     23.9     33.4     9.5일
− 누적 즐거움 결재 (동시 인원)           5.9      9.4      5.9      5.4     36.5     31.1일
− 근속 이월                      29.8     28.8     29.4     24.3     32.6     8.2일
− 수입 곡선                      30.6     28.9     30.8     23.9     33.5     9.6일
− 5장 ③ 식구 (F2)               31.4     28.9     30.4     23.9     33.5     9.6일
− 필드 보스 (E)                  32.4     29.4     32.5     24.8     34.6     9.7일
− 파티 도착·팁 (버프로)              31.4     28.9     30.4     24.4     33.8     9.4일
− 새내기 첫 진화                   31.3     28.8     30.3     23.9     32.9     9.0일
− 싼 초반 값                     31.4     28.9     30.8     23.9     34.9     11.0일
− 싼 2장 개업                    30.6     28.9     30.8     23.9     33.5     9.6일
− 사냥터 값 (자리·식구)              30.4     26.9     29.4     24.3     32.4     8.0일
− 승진 소식                      31.8     28.4     30.9     23.9     33.4     9.5일
+ 도감 돌파 보상 (실험)              30.6     28.9     30.8     23.9     33.4     9.5일
(† = 즐기는 모험가 0으로 멈춘 월드 수, — = 70일 안에 엔딩 못 봄)
