══ 하나씩 빼 보기 (v1.5) · 엔딩 날(D) 중앙값 · 멈춘 월드 ══
변형                               std    light    hasty  hoarder    night   범위
v1.5 전부                      29.8     26.4     30.3     25.8     36.9     11.0일
− 빈틈 걷기 (떠남)                 31.4     25.9     32.5     25.6     52.9     27.3일
− 누적 즐거움 결재 (동시 인원)           5.4      8.8      5.4      5.4     69.9     64.5일
− 승진 발령                      32.9     29.4     33.9        —     38.9     9.5일
− 근속 이월                      28.8     26.3     29.4     25.6     34.5     8.9일
− 퇴사                         30.3     26.4     29.9     25.8        —     4.5일
− 수입 곡선                      29.8     26.4     30.3     25.8     36.8     11.0일
− 막대 눈금 보상 (F1)              32.6     30.8     32.3     27.4     35.9     8.5일
− 5장 ③ 식구 (F2)               29.5     26.4     29.6     25.8     36.9     11.0일
− 엘리트 (E)                    30.4     28.9     30.9     25.3     37.6     12.2일
− 필드 보스 (E)                  33.5     28.8     33.3     27.4     38.5     11.1일
− 첫 10분 한 바퀴 (T)             32.3     28.3     30.4     24.5     38.5     14.0일
− 파티 도착·팁 (버프로)              30.4     27.9     29.3     24.9     36.4     11.5일
− 구간 개방                      29.8     25.9     29.3     24.9     36.5     11.6일
− 새내기 첫 진화                   31.4     27.4     29.6     25.3     36.5     11.2일
− 초반 사냥터·자리 12               39.4     37.4     38.8        —     45.3     7.9일
− 싼 초반 값                     29.8     26.4     30.3     25.8     35.6     9.7일
− 계열 사다리 (싼 2장 개업은 둠)        30.4     28.9     30.8     24.3     36.3     12.0일
− 싼 2장 개업                    29.8     26.4     30.3     25.8     36.8     11.0일
(† = 즐기는 모험가 0으로 멈춘 월드 수, — = 70일 안에 엔딩 못 봄)
